from,to,distance
JCT-5,W9,23.98
W9,JCT-5,23.98
JCT-6,JCT-7,80.19
JCT-7,JCT-6,80.19
R1-1,JCT-6,47.57
JCT-6,R1-1,47.57
R1-2,JCT-6,47.57
JCT-6,R1-2,47.57
JCT-6,R2-1,47.57
R2-1,JCT-6,47.57
JCT-6,R2-2,47.57
R2-2,JCT-6,47.57
JCT-6,RAFIC,47.57
RAFIC,JCT-6,47.57
JCT-6,RG-1,47.57
RG-1,JCT-6,47.57
RG-2,JCT-6,47.57
JCT-6,RG-2,47.57
VIMB-D,JCT-6,65.49
JCT-6,VIMB-D,65.49
JCT-6,W16-1,28.78
W16-1,JCT-6,28.78
JCT-6,W16-2,28.78
W16-2,JCT-6,28.78
JCT-6,w17,39.63
w17,JCT-6,39.63
JCT-6,w18,67.25
w18,JCT-6,67.25
w19,JCT-6,53.1
JCT-6,w19,53.1
JCT-6,workshop,32.31
workshop,JCT-6,32.31
JCT-7,R1-1,44.15
R1-1,JCT-7,44.15
JCT-7,R1-2,44.15
R1-2,JCT-7,44.15
JCT-7,R2-1,44.15
R2-1,JCT-7,44.15
JCT-7,R2-2,44.15
R2-2,JCT-7,44.15
JCT-7,RAFIC,44.15
RAFIC,JCT-7,44.15
RG-1,JCT-7,44.15
JCT-7,RG-1,44.15
JCT-7,RG-2,44.15
RG-2,JCT-7,44.15
JCT-7,basket,67.77
basket,JCT-7,67.77
JCT-7,soccer,40.25
soccer,JCT-7,40.25
JCT-7,w19,32.44
w19,JCT-7,32.44
Mult,VIMB-D,24.66
VIMB-D,Mult,24.66
W16-1,R1-1,34.58
R1-1,W16-1,34.58
R1-1,W16-2,34.58
W16-2,R1-1,34.58
R1-1,volleyball,53.94
volleyball,R1-1,53.94
W16-1,R1-2,34.58
R1-2,W16-1,34.58
W16-2,R1-2,34.58
R1-2,W16-2,34.58
R1-2,volleyball,53.94
volleyball,R1-2,53.94
R2-1,W16-1,34.58
W16-1,R2-1,34.58
R2-1,W16-2,34.58
W16-2,R2-1,34.58
R2-1,volleyball,53.94
volleyball,R2-1,53.94
R2-2,W16-1,34.58
W16-1,R2-2,34.58
W16-2,R2-2,34.58
R2-2,W16-2,34.58
volleyball,R2-2,53.94
R2-2,volleyball,53.94
W16-1,RAFIC,34.58
RAFIC,W16-1,34.58
W16-2,RAFIC,34.58
RAFIC,W16-2,34.58
RAFIC,volleyball,53.94
volleyball,RAFIC,53.94
W16-1,RG-1,34.58
RG-1,W16-1,34.58
RG-1,W16-2,34.58
W16-2,RG-1,34.58
RG-1,volleyball,53.94
volleyball,RG-1,53.94
W16-1,RG-2,34.58
RG-2,W16-1,34.58
RG-2,W16-2,34.58
W16-2,RG-2,34.58
RG-2,volleyball,53.94
volleyball,RG-2,53.94
w6,TT-Basement,42.29
TT-Basement,w6,42.29
TT-M-1,w6,42.29
w6,TT-M-1,42.29
TT-M-2,w6,42.29
w6,TT-M-2,42.29
TT10-1-1,w6,42.29
w6,TT10-1-1,42.29
w6,TT10-1-2,42.29
TT10-1-2,w6,42.29
w6,TT3-1,42.29
TT3-1,w6,42.29
TT4-1,w6,42.29
w6,TT4-1,42.29
TT4-2,w6,42.29
w6,TT4-2,42.29
